Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
277,Assam,BAKSA,2013,Autumn     ,Rice,10200.0,16672.0,23.3
278,Assam,BAKSA,2013,Kharif     ,Arhar/Tur,230.0,221.0,26.4
279,Assam,BAKSA,2013,Kharif     ,Castor seed,25.0,14.0,28.3
280,Assam,BAKSA,2013,Kharif     ,Cotton(lint),10.0,4.0,22.8
281,Assam,BAKSA,2013,Kharif     ,Jute,816.0,5418.0,21.8
282,Assam,BAKSA,2013,Kharif     ,Maize,510.0,2351.0,20.6
283,Assam,BAKSA,2013,Kharif     ,Mesta,103.0,544.0,22.8
284,Assam,BAKSA,2013,Kharif     ,Niger seed,390.0,215.0,24.0
285,Assam,BAKSA,2013,Kharif     ,Orange,287.0,2783.0,23.9
286,Assam,BAKSA,2013,Kharif     ,Papaya,350.0,6960.0,27.4
287,Assam,BAKSA,2013,Kharif     ,Sesamum,310.0,192.0,25.9
288,Assam,BAKSA,2013,Kharif     ,Small millets,290.0,131.0,28.9
289,Assam,BAKSA,2013,Kharif     ,Tapioca,320.0,2875.0,24.0
290,Assam,BAKSA,2013,Kharif     ,Tobacco,7.0,3.0,27.3
291,Assam,BAKSA,2013,Rabi       ,Arecanut,2650.0,1798.0,27.7
292,Assam,BAKSA,2013,Rabi       ,Black pepper,90.0,160.0,20.0
293,Assam,BAKSA,2013,Rabi       ,Dry chillies,760.0,448.0,20.0
294,Assam,BAKSA,2013,Rabi       ,Ginger,630.0,5037.0,27.9
295,Assam,BAKSA,2013,Rabi       ,Gram,80.0,40.0,24.8
296,Assam,BAKSA,2013,Rabi       ,Linseed,478.0,210.0,21.4
297,Assam,BAKSA,2013,Rabi       ,Masoor,2267.0,1904.0,25.2
298,Assam,BAKSA,2013,Rabi       ,Moong(Green Gram),288.0,210.0,27.3
299,Assam,BAKSA,2013,Rabi       ,Peas & beans (Pulses),1290.0,1251.0,29.6
300,Assam,BAKSA,2013,Rabi       ,Pineapple,315.0,5470.0,22.2
301,Assam,BAKSA,2013,Rabi       ,Rapeseed &Mustard,10375.0,6148.0,22.5
302,Assam,BAKSA,2013,Rabi       ,Sweet potato,84.0,569.0,22.4
303,Assam,BAKSA,2013,Rabi       ,Urad,2124.0,1210.0,20.9
304,Assam,BAKSA,2013,Rabi       ,Wheat,350.0,516.0,30.0
305,Assam,BAKSA,2013,Summer     ,Paddy,2750.0,5885.0,26.9
306,Assam,BAKSA,2013,Summer     ,Rice,2750.0,5885.0,27.1
307,Assam,BAKSA,2013,Whole Year ,Banana,1250.0,20675.0,29.6
308,Assam,BAKSA,2013,Whole Year ,Coconut ,1150.0,7984.0,28.0
309,Assam,BAKSA,2013,Whole Year ,Onion,215.0,700.0,26.8
310,Assam,BAKSA,2013,Whole Year ,Potato,4205.0,19430.0,20.2
311,Assam,BAKSA,2013,Whole Year ,Sugarcane,325.0,6106.0,24.3
312,Assam,BAKSA,2013,Whole Year ,Turmeric,792.0,998.0,27.4
313,Assam,BAKSA,2013,Winter     ,Paddy,85730.0,161484.0,21.2
314,Assam,BAKSA,2013,Winter     ,Rice,85730.0,161484.0,13.2
315,Assam,BAKSA,2014,Autumn     ,Paddy,10800.0,18283.0,27.6
316,Assam,BAKSA,2014,Autumn     ,Rice,10800.0,18283.0,28.8
317,Assam,BAKSA,2014,Kharif     ,Arhar/Tur,225.0,205.0,20.8
318,Assam,BAKSA,2014,Kharif     ,Castor seed,27.0,19.0,24.0
319,Assam,BAKSA,2014,Kharif     ,Cotton(lint),11.0,5.0,23.6
320,Assam,BAKSA,2014,Kharif     ,Jute,540.0,2900.0,22.9
321,Assam,BAKSA,2014,Kharif     ,Maize,340.0,1183.0,29.1
322,Assam,BAKSA,2014,Kharif     ,Mesta,160.0,673.0,24.5
323,Assam,BAKSA,2014,Kharif     ,Niger seed,415.0,241.0,23.3
324,Assam,BAKSA,2014,Kharif     ,Orange,315.0,3056.0,27.6
325,Assam,BAKSA,2014,Kharif     ,Papaya,325.0,6463.0,20.3
326,Assam,BAKSA,2014,Kharif     ,Sesamum,315.0,227.0,21.5
327,Assam,BAKSA,2014,Kharif     ,Small millets,300.0,171.0,28.2
328,Assam,BAKSA,2014,Kharif     ,Tapioca,320.0,2875.0,27.1
329,Assam,BAKSA,2014,Kharif     ,Tobacco,6.0,3.0,22.8
330,Assam,BAKSA,2014,Rabi       ,Black pepper,92.0,165.0,27.7
331,Assam,BAKSA,2014,Rabi       ,Dry chillies,762.0,484.0,24.1
332,Assam,BAKSA,2014,Rabi       ,Ginger,650.0,5210.0,22.5
333,Assam,BAKSA,2014,Rabi       ,Gram,78.0,49.0,25.2
334,Assam,BAKSA,2014,Rabi       ,Linseed,455.0,339.0,25.9
335,Assam,BAKSA,2014,Rabi       ,Masoor,1996.0,1134.0,27.7
336,Assam,BAKSA,2014,Rabi       ,Moong(Green Gram),127.0,76.0,24.0
